0,0,0,0,0
0,0,0,1,0
0,0,0,2,0
0,0.333333333333333,0,0,0
0,0.333333333333333,0,1,0
0,0.333333333333333,0,2,0
0,0.666666666666667,0,0,0
0,0.666666666666667,0,1,0
0,0.666666666666667,0,2,0
0,1,0,0,0
0,1,0,1,0
0,1,0,2,0
1,0,0,0,0
1,0,0,1,0
1,0,0,2,0
1,0.333333333333333,0,0,0
1,0.333333333333333,0,1,0
1,0.333333333333333,0,2,0
1,0.666666666666667,0,0,0
1,0.666666666666667,0,1,0
1,0.666666666666667,0,2,0
1,1,0,0,0
1,1,0,1,0
1,1,0,2,0
2,0,0,0,0
2,0,0,1,0
2,0,0,2,0
2,0.333333333333333,0,0,0
2,0.333333333333333,0,1,0
2,0.333333333333333,0,2,0
2,0.666666666666667,0,0,0
2,0.666666666666667,0,1,0
2,0.666666666666667,0,2,0
2,1,0,0,0
2,1,0,1,0
2,1,0,2,0
3,0,0,0,0
3,0,0,1,0
3,0,0,2,0
3,0.333333333333333,0,0,0
3,0.333333333333333,0,1,0
3,0.333333333333333,0,2,0
3,0.666666666666667,0,0,0
3,0.666666666666667,0,1,0
3,0.666666666666667,0,2,0
3,1,0,0,0
3,1,0,1,0
3,1,0,2,0
4,0,0,0,0
4,0,0,1,0
4,0,0,2,0
4,0.333333333333333,0,0,0
4,0.333333333333333,0,1,0
4,0.333333333333333,0,2,0
4,0.666666666666667,0,0,0
4,0.666666666666667,0,1,0
4,0.666666666666667,0,2,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
5,0,0,0,0
5,0,0,1,0
5,0,0,2,0
5,0.333333333333333,0,0,0
5,0.333333333333333,0,1,0
5,0.333333333333333,0,2,0
5,0.666666666666667,0,0,0
5,0.666666666666667,0,1,0
5,0.666666666666667,0,2,0
5,1,0,0,0
5,1,0,1,0
5,1,0,2,0
0,0,1,0,0
0,0,1,1,0
0,0,1,2,0
0,0.333333333333333,1,0,0
0,0.333333333333333,1,1,0
0,0.333333333333333,1,2,0
0,0.666666666666667,1,0,0
0,0.666666666666667,1,1,0
0,0.666666666666667,1,2,0
0,1,1,0,0
0,1,1,1,0
0,1,1,2,0
1,0,1,0,0.02
1,0,1,1,0
1,0,1,2,0
1,0.333333333333333,1,0,0.02
1,0.333333333333333,1,1,0
1,0.333333333333333,1,2,0
1,0.666666666666667,1,0,0.02
1,0.666666666666667,1,1,0
1,0.666666666666667,1,2,0
1,1,1,0,0.02
1,1,1,1,0
1,1,1,2,0
2,0,1,0,0.04
2,0,1,1,0
2,0,1,2,0
2,0.333333333333333,1,0,0.04
2,0.333333333333333,1,1,0
2,0.333333333333333,1,2,0
2,0.666666666666667,1,0,0.04
2,0.666666666666667,1,1,0
2,0.666666666666667,1,2,0
2,1,1,0,0.04
2,1,1,1,0
2,1,1,2,0
3,0,1,0,0.06
3,0,1,1,0
3,0,1,2,0
3,0.333333333333333,1,0,0.06
3,0.333333333333333,1,1,0
3,0.333333333333333,1,2,0
3,0.666666666666667,1,0,0.06
3,0.666666666666667,1,1,0
3,0.666666666666667,1,2,0
3,1,1,0,0.06
3,1,1,1,0
3,1,1,2,0
4,0,1,0,0.08
4,0,1,1,0
4,0,1,2,0
4,0.333333333333333,1,0,0.08
4,0.333333333333333,1,1,0
4,0.333333333333333,1,2,0
4,0.666666666666667,1,0,0.08
4,0.666666666666667,1,1,0
4,0.666666666666667,1,2,0
4,1,1,0,0.08
4,1,1,1,0
4,1,1,2,0
5,0,1,0,0.1
5,0,1,1,0
5,0,1,2,0
5,0.333333333333333,1,0,0.1
5,0.333333333333333,1,1,0
5,0.333333333333333,1,2,0
5,0.666666666666667,1,0,0.1
5,0.666666666666667,1,1,0
5,0.666666666666667,1,2,0
5,1,1,0,0.1
5,1,1,1,0
5,1,1,2,0
